listing_id,car_brand_id,car_brand,car_model_id,car_year,car_variant_id,car_engine,car_transmission_id,auction_date,reserve_price
1788666,Brand 129,Proton,Model 2067,2007,Variant 12807,1.3,1,23/04/2021,3000
1788668,Brand 121,Nissan,Model 1860,2018,Variant 10914,2.5,1,23/04/2021,70000
1788696,Brand 129,Proton,Model 2086,2008,Variant 12995,1.6,2,23/04/2021,8500
1788720,Brand 16,BMW,Model 116,2005,Variant 790,2.5,2,23/04/2021,15000
1788733,Brand 124,Perodua,Model 1968,2006,Variant 11895,1.3,2,23/04/2021,9000
1788883,Brand 84,Kia,Model 1080,2015,Variant 5800,1.4,2,23/04/2021,26000
1788894,Brand 16,BMW,Model 106,2008,Variant 671,2.5,2,23/04/2021,19000
1788907,Brand 151,Volkswagen,Model 2555,2017,Variant 16422,1.6,2,23/04/2021,35000
1788927,Brand 124,Perodua,Model 1946,2013,Variant 11562,1.5,2,23/04/2021,21000
1788930,Brand 124,Perodua,Model 1978,2013,Variant 12050,0.8,1,23/04/2021,5900
1789008,Brand 129,Proton,Model 2097,2015,Variant 13179,1.3,2,23/04/2021,10000
1789075,Brand 124,Perodua,Model 1950,2015,Variant 11592,1,1,23/04/2021,11300
1789107,Brand 120,Naza,Model 1758,2007,Variant 10276,2,2,23/04/2021,5000
1789116,Brand 124,Perodua,Model 1946,2012,Variant 11575,1.5,1,23/04/2021,18000
1789152,Brand 129,Proton,Model 2057,2011,Variant 12586,1.6,2,23/04/2021,15800
1789190,Brand 63,Honda,Model 674,2009,Variant 3597,1.5,2,23/04/2021,20800
1789191,Brand 107,Mercedes-Benz,Model 1459,2010,Variant 7747,1.8,2,23/04/2021,41000
1789207,Brand 124,Perodua,Model 1968,2006,Variant 11898,1.3,2,23/04/2021,6000
1789309,Brand 149,Toyota,Model 2340,2008,Variant 14712,2,2,23/04/2021,25000
1789318,Brand 101,Maxus,Model 1253,2017,Variant 6547,2,2,23/04/2021,53000
1789337,Brand 149,Toyota,Model 2340,2003,Variant 14721,2.4,2,23/04/2021,6800
1789406,Brand 129,Proton,Model 2089,2014,Variant 13010,1.6,2,23/04/2021,11300
1789410,Brand 63,Honda,Model 676,2018,Variant 3636,1.8,2,23/04/2021,76000
1789500,Brand 124,Perodua,Model 1968,2011,Variant 11909,1.3,1,23/04/2021,10000
1789552,Brand 84,Kia,Model 1068,2012,Variant 5733,2,2,23/04/2021,26000
1789598,Brand 149,Toyota,Model 2482,2007,Variant 15832,1.5,2,23/04/2021,14000
1789613,Brand 149,Toyota,Model 2482,2009,Variant 15836,1.5,1,23/04/2021,16300
1789618,Brand 63,Honda,Model 718,2011,Variant 4061,1.3,2,23/04/2021,10000
1789711,Brand 149,Toyota,Model 2482,2008,Variant 15836,1.5,2,23/04/2021,17400
1789719,Brand 63,Honda,Model 725,2014,Variant 4107,1.5,2,23/04/2021,34000
1789759,Brand 16,BMW,Model 116,2015,Variant 770,2,2,23/04/2021,108000
1789825,Brand 63,Honda,Model 674,2007,Variant 3596,1.5,2,23/04/2021,5000
1789836,Brand 63,Honda,Model 676,2010,Variant 3636,1.8,2,23/04/2021,30000
